part_number,price,days_to_ship,minimum_order_qty,inner_dia_d,outer_dia_d,width_b,basic_load_rating_cr,basic_load_rating_cor,weight,page_url
6703ZZ,,,,17.0,23,460.0,,,17.4,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6904ZZ,,,,37.0,9,24.0,,,36.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6206ZZ,,,,62.0,16,39.0,,,199.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6309ZZ,,,,100.0,25,53.0,,,92.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6907ZZ,,,,55.0,10,8000.0,,,40.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6800ZZ,,,,19.0,5,24000.0,,,12.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6903ZZ,,,,30.0,7,20.0,,,18.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6207ZZ,,,,72.0,17,7000.0,,,45.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6202ZZ,,,,35.0,11,14000.0,,,20.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6310ZZ,,,,110.0,27,4000.0,,,68.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6901ZZ,,,,24.0,6,15.0,,,11.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6804ZZ,,,,32.0,7,15000.0,,,22.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6204ZZ,,,,47.0,14,11000.0,,,28.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6807ZZ,,,,35.0,47,2840.0,,,37.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6200ZZ,,,,30.0,9,17000.0,,,16.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6003ZZ,,,,35.0,10,21.0,,,39.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6205ZZ,,,,52.0,15,9000.0,,,32.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6306ZZ,,,,72.0,19,7000.0,,,42.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6900ZZ,,,,22.0,6,13.0,,,9.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6006ZZ,,,,55.0,13,9000.0,,,37.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6004ZZ,,,,42.0,12,24.0,,,38.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6910ZZ,,,,72.0,12,6000.0,,,55.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6001ZZ,,,,28.0,8,16.0,,,21.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6300ZZ,,,,35.0,11,16.5,,,52.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6304ZZ,,,,52.0,15,10000.0,,,45.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6701ZZ,,,,12.0,18,370.0,,,12.4,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6700ZZ,,,,,10,600.0,,,15000.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6007ZZ,,,,62.0,14,40.0,,,57.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6008ZZ,,,,68.0,15,7000.0,,,47.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6801ZZ,,,,21.0,5,22000.0,,,14.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6803ZZ,,,,26.0,5,18000.0,,,19.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6908ZZ,,,,62.0,12,44.0,,,58.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6905ZZ,,,,42.0,9,29.0,,,42.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6307ZZ,,,,80.0,21,6000.0,,,47.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6201ZZ,,,,32.0,10,15000.0,,,17.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6809ZZ,,,,45.0,58,3770.0,,,47.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6302ZZ,,,,42.0,13,12000.0,,,22.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6000ZZ,,,,26.0,8,13.5,,,19.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6005ZZ,,,,47.0,12,29.0,,,43.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6805ZZ,,,,25.0,37,2070.0,,,27.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6704ZZ,,,,20.0,27,510.0,,,20.4,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6301ZZ,,,,37.0,12,14000.0,,,18.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6902ZZ,,,,28.0,7,26.0,,,,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6702ZZ,,,,15.0,21,410.0,,,15.4,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6808ZZ,,,,40.0,52,3080.0,,,42.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6209ZZ,,,,85.0,19,5000.0,,,55.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6009ZZ,,,,75.0,16,6000.0,,,53.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6810ZZ,,,,50.0,65,4260.0,,,52.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6203ZZ,,,,40.0,12,12000.0,,,23.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6305ZZ,,,,62.0,17,8000.0,,,36.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6806ZZ,,,,30.0,42,2560.0,,,32.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6909ZZ,,,,68.0,12,7000.0,,,50.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6802ZZ,,,,24.0,5,20000.0,,,17.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6210ZZ,,,,90.0,20,56.5,,,83.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6208ZZ,,,,80.0,18,6000.0,,,51.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6906ZZ,,,,47.0,9,34.0,,,53.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6303ZZ,,,,47.0,14,11000.0,,,25.5,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
6010ZZ,,,,80.0,16,55.0,,,75.0,https://vn.misumi-ec.com/vona2/detail/110310367019/?KWSearch=bearing&searchFlow=results2products&list=PageSearchResult
